CFHEPS Amount,ZIP,month,Timely Issuance,Agency Action 
"$2,050",10002,9/1/2024,Timely,N/A
"$2,035",10002,9/1/2024,Timely,N/A
"$1,962",10002,9/1/2024,Timely,N/A
"$1,938",10002,9/1/2024,Timely,N/A
"$1,904",10002,9/1/2024,Timely,N/A
"$1,844",10002,9/1/2024,Timely,N/A
"$1,739",10002,9/1/2024,Timely,N/A
"$1,734",10002,9/1/2024,Timely,N/A
"$1,715",10002,9/1/2024,Timely,N/A
"$1,703",10002,9/1/2024,Timely,N/A
"$1,701",10002,9/1/2024,Timely,N/A
"$1,701",10002,9/1/2024,Timely,N/A
"$1,701",10002,9/1/2024,Timely,N/A
"$1,699",10002,9/1/2024,Timely,N/A
"$1,688",10002,9/1/2024,Timely,N/A
"$1,683",10002,9/1/2024,Timely,N/A
"$1,680",10002,9/1/2024,Timely,N/A
"$1,679",10002,9/1/2024,Timely,N/A
"$1,672",10002,9/1/2024,Timely,N/A
"$1,667",10002,9/1/2024,Timely,N/A
"$1,664",10002,9/1/2024,Timely,N/A
"$1,660",10002,9/1/2024,Timely,N/A
"$1,656",10002,9/1/2024,Timely,N/A
"$1,654",10002,9/1/2024,Timely,N/A
"$1,632",10002,9/1/2024,Timely,N/A
"$1,620",10002,9/1/2024,Timely,N/A
"$1,607",10002,9/1/2024,Timely,N/A
"$1,602",10002,9/1/2024,Timely,N/A
"$1,518",10002,9/1/2024,Timely,N/A
"$1,510",10002,9/1/2024,Timely,N/A
"$1,428",10002,9/1/2024,Timely,N/A
"$1,396",10002,9/1/2024,Timely,N/A
"$1,363",10002,9/1/2024,Timely,N/A
"$1,338",10002,9/1/2024,Timely,N/A
"$1,306",10002,9/1/2024,Timely,N/A
"$1,289",10002,9/1/2024,Timely,N/A
"$1,283",10002,9/1/2024,Timely,N/A
"$1,283",10002,9/1/2024,Timely,N/A
"$1,267",10002,9/1/2024,Timely,N/A
"$1,266",10002,9/1/2024,Timely,N/A
"$1,245",10002,9/1/2024,Timely,N/A
"$1,226",10002,9/1/2024,Timely,N/A
"$1,157",10002,9/1/2024,Timely,N/A
"$1,154",10002,9/1/2024,Timely,N/A
"$1,148",10002,9/1/2024,Timely,N/A
"$1,146",10002,9/1/2024,Timely,N/A
"$1,133",10002,9/1/2024,Timely,N/A
"$1,132",10002,9/1/2024,Timely,N/A
"$1,130",10002,9/1/2024,Timely,N/A
"$1,127",10002,9/1/2024,Timely,N/A
"$1,111",10002,9/1/2024,Timely,N/A
"$1,102",10002,9/1/2024,Timely,N/A
"$1,065",10002,9/1/2024,Timely,N/A
"$1,058",10002,9/1/2024,Timely,N/A
"$1,052",10002,9/1/2024,Timely,N/A
"$1,052",10002,9/1/2024,Timely,N/A
"$1,050",10002,9/1/2024,Timely,N/A
"$1,050",10002,9/1/2024,Timely,N/A
"$1,050",10002,9/1/2024,Timely,N/A
"$1,050",10002,9/1/2024,Timely,N/A
"$1,050",10002,9/1/2024,Timely,N/A
"$1,045",10002,9/1/2024,Timely,N/A
"$1,040",10002,9/1/2024,Timely,N/A
"$1,036",10002,9/1/2024,Timely,N/A
"$1,030",10002,9/1/2024,Timely,N/A
"$1,024",10002,9/1/2024,Timely,N/A
"$1,023",10002,9/1/2024,Timely,N/A
"$1,015",10002,9/1/2024,Timely,N/A
"$1,015",10002,9/1/2024,Timely,N/A
"$1,012",10002,9/1/2024,Timely,N/A
"$1,009",10002,9/1/2024,Timely,N/A
"$1,004",10002,9/1/2024,Timely,N/A
"$1,002",10002,9/1/2024,Timely,N/A
"$1,001",10002,9/1/2024,Timely,N/A
$999,10002,9/1/2024,Timely,N/A
$985,10002,9/1/2024,Timely,N/A
$984,10002,9/1/2024,Timely,N/A
$974,10002,9/1/2024,Timely,N/A
$973,10002,9/1/2024,Timely,N/A
$966,10002,9/1/2024,Timely,N/A
$952,10002,9/1/2024,Timely,N/A
$950,10002,9/1/2024,Timely,N/A
$943,10002,9/1/2024,Timely,N/A
$937,10002,9/1/2024,Timely,N/A
$932,10002,9/1/2024,Timely,N/A
$913,10002,9/1/2024,Timely,N/A
$907,10002,9/1/2024,Timely,N/A
$889,10002,9/1/2024,Timely,N/A
$885,10002,9/1/2024,Timely,N/A
$852,10002,9/1/2024,Timely,N/A
$843,10002,9/1/2024,Timely,N/A
$834,10002,9/1/2024,Timely,N/A
$833,10002,9/1/2024,Timely,N/A
$821,10002,9/1/2024,Timely,N/A
$792,10002,9/1/2024,Timely,N/A
$770,10002,9/1/2024,Timely,N/A
$763,10002,9/1/2024,Timely,N/A
$749,10002,9/1/2024,Timely,N/A
$717,10002,9/1/2024,Timely,N/A
$714,10002,9/1/2024,Timely,N/A
$686,10002,9/1/2024,Timely,N/A
$668,10002,9/1/2024,Timely,N/A
$666,10002,9/1/2024,Timely,N/A
$634,10002,9/1/2024,Timely,N/A
$608,10002,9/1/2024,Timely,N/A
$601,10002,9/1/2024,Timely,N/A
$596,10002,9/1/2024,Timely,N/A
$588,10002,9/1/2024,Timely,N/A
$587,10002,9/1/2024,Timely,N/A
$579,10002,9/1/2024,Timely,N/A
$567,10002,9/1/2024,Timely,N/A
$541,10002,9/1/2024,Timely,N/A
$522,10002,9/1/2024,Timely,N/A
$487,10002,9/1/2024,Timely,N/A
$484,10002,9/1/2024,Timely,N/A
$473,10002,9/1/2024,Timely,N/A
$460,10002,9/1/2024,Timely,N/A
$442,10002,9/1/2024,Timely,N/A
$424,10002,9/1/2024,Timely,N/A
$411,10002,9/1/2024,Timely,N/A
$391,10002,9/1/2024,Timely,N/A
$386,10002,9/1/2024,Timely,N/A
$377,10002,9/1/2024,Timely,N/A
$237,10002,9/1/2024,Timely,N/A
"$1,984",10003,9/1/2024,Timely,N/A
"$1,917",10003,9/1/2024,Timely,N/A
"$1,718",10003,9/1/2024,Timely,N/A
"$1,701",10003,9/1/2024,Timely,N/A
"$1,561",10003,9/1/2024,Timely,N/A
"$1,536",10003,9/1/2024,Timely,N/A
"$1,445",10003,9/1/2024,Timely,N/A
"$1,439",10003,9/1/2024,Timely,N/A
"$1,420",10003,9/1/2024,Timely,N/A
"$1,419",10003,9/1/2024,Timely,N/A
"$1,342",10003,9/1/2024,Timely,N/A
"$1,325",10003,9/1/2024,Timely,N/A
"$1,210",10003,9/1/2024,Timely,N/A
"$1,157",10003,9/1/2024,Timely,N/A
"$1,041",10003,9/1/2024,Timely,N/A
$959,10003,9/1/2024,Timely,N/A
$939,10003,9/1/2024,Timely,N/A
$893,10003,9/1/2024,Timely,N/A
$843,10003,9/1/2024,Timely,N/A
$830,10003,9/1/2024,Timely,N/A
$766,10003,9/1/2024,Timely,N/A
$763,10003,9/1/2024,Timely,N/A
$739,10003,9/1/2024,Timely,N/A
$738,10003,9/1/2024,Timely,N/A
$659,10003,9/1/2024,Timely,N/A
$652,10003,9/1/2024,Timely,N/A
$598,10003,9/1/2024,Timely,N/A
$430,10003,9/1/2024,Timely,N/A
$367,10003,9/1/2024,Timely,N/A
$334,10003,9/1/2024,Timely,N/A
$252,10003,9/1/2024,Timely,N/A
$233,10003,9/1/2024,Timely,N/A
$39,10003,9/1/2024,Timely,N/A
"$3,040",10009,9/1/2024,Timely,N/A
"$2,447",10009,9/1/2024,Timely,N/A
"$2,310",10009,9/1/2024,Timely,N/A
"$2,271",10009,9/1/2024,Timely,N/A
"$2,161",10009,9/1/2024,Timely,N/A
"$2,109",10009,9/1/2024,Timely,N/A
"$1,640",10009,9/1/2024,Timely,N/A
"$1,572",10009,9/1/2024,Timely,N/A
"$1,533",10009,9/1/2024,Timely,N/A
"$1,363",10009,9/1/2024,Timely,N/A
"$1,239",10009,9/1/2024,Timely,N/A
"$1,100",10009,9/1/2024,Timely,N/A
"$1,065",10009,9/1/2024,Timely,N/A
"$1,063",10009,9/1/2024,Timely,N/A
"$1,039",10009,9/1/2024,Timely,N/A
"$1,019",10009,9/1/2024,Timely,N/A
"$1,006",10009,9/1/2024,Timely,N/A
$961,10009,9/1/2024,Timely,N/A
$934,10009,9/1/2024,Timely,N/A
$919,10009,9/1/2024,Timely,N/A
$894,10009,9/1/2024,Timely,N/A
$788,10009,9/1/2024,Timely,N/A
$783,10009,9/1/2024,Timely,N/A
$780,10009,9/1/2024,Timely,N/A
$765,10009,9/1/2024,Timely,N/A
$759,10009,9/1/2024,Timely,N/A
$728,10009,9/1/2024,Timely,N/A
$704,10009,9/1/2024,Timely,N/A
$698,10009,9/1/2024,Timely,N/A
$690,10009,9/1/2024,Timely,N/A
$678,10009,9/1/2024,Timely,N/A
$640,10009,9/1/2024,Timely,N/A
$603,10009,9/1/2024,Timely,N/A
$518,10009,9/1/2024,Timely,N/A
$452,10009,9/1/2024,Timely,N/A
$443,10009,9/1/2024,Timely,N/A
$349,10009,9/1/2024,Timely,N/A
$330,10009,9/1/2024,Timely,N/A
$171,10009,9/1/2024,Timely,N/A
"$2,879",10010,9/1/2024,Timely,N/A
"$2,879",10010,9/1/2024,Timely,N/A
"$2,811",10010,9/1/2024,Timely,N/A
"$2,622",10010,9/1/2024,Timely,N/A
"$2,378",10010,9/1/2024,Timely,N/A
"$1,888",10010,9/1/2024,Timely,N/A
"$1,530",10010,9/1/2024,Timely,N/A
"$1,279",10010,9/1/2024,Timely,N/A
"$1,127",10010,9/1/2024,Timely,N/A
"$1,050",10010,9/1/2024,Timely,N/A
"$1,023",10010,9/1/2024,Timely,N/A
"$1,009",10010,9/1/2024,Timely,N/A
$974,10010,9/1/2024,Timely,N/A
$868,10010,9/1/2024,Timely,N/A
$667,10010,9/1/2024,Timely,N/A
$651,10010,9/1/2024,Timely,N/A
$550,10010,9/1/2024,Timely,N/A
$526,10010,9/1/2024,Timely,N/A
$525,10010,9/1/2024,Timely,N/A
$469,10010,9/1/2024,Timely,N/A
$463,10010,9/1/2024,Timely,N/A
$421,10010,9/1/2024,Timely,N/A
$43,10010,9/1/2024,Timely,N/A
"$2,745",10011,9/1/2024,Timely,N/A
"$2,745",10011,9/1/2024,Timely,N/A
"$2,653",10011,9/1/2024,Timely,N/A
"$2,438",10011,9/1/2024,Timely,N/A
"$2,120",10011,9/1/2024,Timely,N/A
"$1,788",10011,9/1/2024,Timely,N/A
"$1,320",10011,9/1/2024,Timely,N/A
"$1,236",10011,9/1/2024,Timely,N/A
"$1,215",10011,9/1/2024,Timely,N/A
"$1,094",10011,9/1/2024,Timely,N/A
"$1,023",10011,9/1/2024,Timely,N/A
$559,10011,9/1/2024,Timely,N/A
$456,10011,9/1/2024,Timely,N/A
$348,10011,9/1/2024,Timely,N/A
$294,10011,9/1/2024,Timely,N/A
$280,10011,9/1/2024,Timely,N/A
"$1,022",10012,9/1/2024,Timely,N/A
"$1,722",10013,9/1/2024,Timely,N/A
"$1,014",10013,9/1/2024,Timely,N/A
$988,10013,9/1/2024,Timely,N/A
$891,10013,9/1/2024,Timely,N/A
$819,10013,9/1/2024,Timely,N/A
$387,10013,9/1/2024,Timely,N/A
"$1,527",10014,9/1/2024,Timely,N/A
$996,10014,9/1/2024,Timely,N/A
$834,10014,9/1/2024,Timely,N/A
$796,10014,9/1/2024,Timely,N/A
$732,10014,9/1/2024,Timely,N/A
$722,10014,9/1/2024,Timely,N/A
$711,10014,9/1/2024,Timely,N/A
$708,10014,9/1/2024,Timely,N/A
"$2,660",10016,9/1/2024,Timely,N/A
"$2,564",10016,9/1/2024,Timely,N/A
"$2,301",10016,9/1/2024,Timely,N/A
"$1,965",10016,9/1/2024,Timely,N/A
"$1,866",10016,9/1/2024,Timely,N/A
"$1,679",10016,9/1/2024,Timely,N/A
"$1,670",10016,9/1/2024,Timely,N/A
"$1,669",10016,9/1/2024,Timely,N/A
"$1,353",10016,9/1/2024,Timely,N/A
"$1,210",10016,9/1/2024,Timely,N/A
"$1,170",10016,9/1/2024,Timely,N/A
"$1,153",10016,9/1/2024,Timely,N/A
"$1,153",10016,9/1/2024,Timely,N/A
"$1,053",10016,9/1/2024,Timely,N/A
"$1,027",10016,9/1/2024,Timely,N/A
"$1,020",10016,9/1/2024,Timely,N/A
$997,10016,9/1/2024,Timely,N/A
$967,10016,9/1/2024,Timely,N/A
$885,10016,9/1/2024,Timely,N/A
$878,10016,9/1/2024,Timely,N/A
$832,10016,9/1/2024,Timely,N/A
$832,10016,9/1/2024,Timely,N/A
$832,10016,9/1/2024,Timely,N/A
$828,10016,9/1/2024,Timely,N/A
$815,10016,9/1/2024,Timely,N/A
$814,10016,9/1/2024,Timely,N/A
$789,10016,9/1/2024,Timely,N/A
$783,10016,9/1/2024,Timely,N/A
$776,10016,9/1/2024,Timely,N/A
$768,10016,9/1/2024,Timely,N/A
$739,10016,9/1/2024,Timely,N/A
$711,10016,9/1/2024,Timely,N/A
$681,10016,9/1/2024,Timely,N/A
$677,10016,9/1/2024,Timely,N/A
$676,10016,9/1/2024,Timely,N/A
$662,10016,9/1/2024,Timely,N/A
$660,10016,9/1/2024,Timely,N/A
$658,10016,9/1/2024,Timely,N/A
$630,10016,9/1/2024,Timely,N/A
$627,10016,9/1/2024,Timely,N/A
$609,10016,9/1/2024,Timely,N/A
$555,10016,9/1/2024,Timely,N/A
$549,10016,9/1/2024,Timely,N/A
$541,10016,9/1/2024,Timely,N/A
$536,10016,9/1/2024,Timely,N/A
$434,10016,9/1/2024,Timely,N/A
$391,10016,9/1/2024,Timely,N/A
$379,10016,9/1/2024,Timely,N/A
$341,10016,9/1/2024,Timely,N/A
$309,10016,9/1/2024,Timely,N/A
$302,10016,9/1/2024,Timely,N/A
"$1,608",10017,9/1/2024,Timely,N/A
"$1,130",10017,9/1/2024,Timely,N/A
"$1,040",10017,9/1/2024,Timely,N/A
$799,10017,9/1/2024,Timely,N/A
$669,10017,9/1/2024,Timely,N/A
$521,10017,9/1/2024,Timely,N/A
$389,10017,9/1/2024,Timely,N/A
$101,10017,9/1/2024,Timely,N/A
"$2,520",10018,9/1/2024,Timely,N/A
"$2,499",10018,9/1/2024,Timely,N/A
"$2,499",10018,9/1/2024,Timely,N/A
"$2,437",10018,9/1/2024,Timely,N/A
"$2,289",10018,9/1/2024,Timely,N/A
"$2,150",10018,9/1/2024,Timely,N/A
"$2,097",10018,9/1/2024,Timely,N/A
"$2,087",10018,9/1/2024,Timely,N/A
"$2,002",10018,9/1/2024,Timely,N/A
$825,10018,9/1/2024,Timely,N/A
$760,10018,9/1/2024,Timely,N/A
$732,10018,9/1/2024,Timely,N/A
$712,10018,9/1/2024,Timely,N/A
$651,10018,9/1/2024,Timely,N/A
$572,10018,9/1/2024,Timely,N/A
$545,10018,9/1/2024,Timely,N/A
$507,10018,9/1/2024,Timely,N/A
$498,10018,9/1/2024,Timely,N/A
$460,10018,9/1/2024,Timely,N/A
$448,10018,9/1/2024,Timely,N/A
$402,10018,9/1/2024,Timely,N/A
$401,10018,9/1/2024,Timely,N/A
$389,10018,9/1/2024,Timely,N/A
$371,10018,9/1/2024,Timely,N/A
$14,10018,9/1/2024,Timely,N/A
"$3,152",10019,9/1/2024,Timely,N/A
"$3,095",10019,9/1/2024,Timely,N/A
"$2,851",10019,9/1/2024,Timely,N/A
"$2,825",10019,9/1/2024,Timely,N/A
"$2,812",10019,9/1/2024,Timely,N/A
"$2,799",10019,9/1/2024,Timely,N/A
"$2,791",10019,9/1/2024,Timely,N/A
"$2,731",10019,9/1/2024,Timely,N/A
"$2,720",10019,9/1/2024,Timely,N/A
"$2,701",10019,9/1/2024,Timely,N/A
"$2,695",10019,9/1/2024,Timely,N/A
"$2,676",10019,9/1/2024,Timely,N/A
"$2,670",10019,9/1/2024,Timely,N/A
"$2,655",10019,9/1/2024,Timely,N/A
"$2,594",10019,9/1/2024,Timely,N/A
"$2,582",10019,9/1/2024,Timely,N/A
"$2,553",10019,9/1/2024,Timely,N/A
"$2,553",10019,9/1/2024,Timely,N/A
"$2,503",10019,9/1/2024,Timely,N/A
"$2,452",10019,9/1/2024,Timely,N/A
"$2,412",10019,9/1/2024,Timely,N/A
"$2,395",10019,9/1/2024,Timely,N/A
"$2,375",10019,9/1/2024,Timely,N/A
"$2,360",10019,9/1/2024,Timely,N/A
"$2,305",10019,9/1/2024,Timely,N/A
"$2,294",10019,9/1/2024,Timely,N/A
"$2,216",10019,9/1/2024,Timely,N/A
"$2,212",10019,9/1/2024,Timely,N/A
"$2,179",10019,9/1/2024,Timely,N/A
"$2,179",10019,9/1/2024,Timely,N/A
"$2,175",10019,9/1/2024,Timely,N/A
"$2,147",10019,9/1/2024,Timely,N/A
"$2,123",10019,9/1/2024,Timely,N/A
"$2,064",10019,9/1/2024,Timely,N/A
"$2,062",10019,9/1/2024,Timely,N/A
"$2,052",10019,9/1/2024,Timely,N/A
"$2,034",10019,9/1/2024,Timely,N/A
"$2,024",10019,9/1/2024,Timely,N/A
"$2,012",10019,9/1/2024,Timely,N/A
"$2,008",10019,9/1/2024,Timely,N/A
"$1,994",10019,9/1/2024,Timely,N/A
"$1,885",10019,9/1/2024,Timely,N/A
"$1,851",10019,9/1/2024,Timely,N/A
"$1,833",10019,9/1/2024,Timely,N/A
"$1,816",10019,9/1/2024,Timely,N/A
"$1,731",10019,9/1/2024,Timely,N/A
"$1,500",10019,9/1/2024,Timely,N/A
"$1,337",10019,9/1/2024,Timely,N/A
"$1,176",10019,9/1/2024,Timely,N/A
"$1,169",10019,9/1/2024,Timely,N/A
"$1,116",10019,9/1/2024,Timely,N/A
"$1,032",10019,9/1/2024,Timely,N/A
"$1,032",10019,9/1/2024,Timely,N/A
$997,10019,9/1/2024,Timely,N/A
$997,10019,9/1/2024,Timely,N/A
$982,10019,9/1/2024,Timely,N/A
$917,10019,9/1/2024,Timely,N/A
$900,10019,9/1/2024,Timely,N/A
$881,10019,9/1/2024,Timely,N/A
$841,10019,9/1/2024,Timely,N/A
$838,10019,9/1/2024,Timely,N/A
$836,10019,9/1/2024,Timely,N/A
$826,10019,9/1/2024,Timely,N/A
$817,10019,9/1/2024,Timely,N/A
$792,10019,9/1/2024,Timely,N/A
$784,10019,9/1/2024,Timely,N/A
$776,10019,9/1/2024,Timely,N/A
$769,10019,9/1/2024,Timely,N/A
$767,10019,9/1/2024,Timely,N/A
$750,10019,9/1/2024,Timely,N/A
$750,10019,9/1/2024,Timely,N/A
$750,10019,9/1/2024,Timely,N/A
$750,10019,9/1/2024,Timely,N/A
$746,10019,9/1/2024,Timely,N/A
$745,10019,9/1/2024,Timely,N/A
$691,10019,9/1/2024,Timely,N/A
$681,10019,9/1/2024,Timely,N/A
$594,10019,9/1/2024,Timely,N/A
$585,10019,9/1/2024,Timely,N/A
$583,10019,9/1/2024,Timely,N/A
$581,10019,9/1/2024,Timely,N/A
$564,10019,9/1/2024,Timely,N/A
$502,10019,9/1/2024,Timely,N/A
$439,10019,9/1/2024,Timely,N/A
$425,10019,9/1/2024,Timely,N/A
$423,10019,9/1/2024,Timely,N/A
$415,10019,9/1/2024,Timely,N/A
$404,10019,9/1/2024,Timely,N/A
$353,10019,9/1/2024,Timely,N/A
$330,10019,9/1/2024,Timely,N/A
$307,10019,9/1/2024,Timely,N/A
$241,10019,9/1/2024,Timely,N/A
$207,10019,9/1/2024,Timely,N/A
$201,10019,9/1/2024,Timely,N/A
$132,10019,9/1/2024,Timely,N/A
"$2,272",10021,9/1/2024,Timely,N/A
"$1,993",10021,9/1/2024,Timely,N/A
"$1,023",10021,9/1/2024,Timely,N/A
$919,10021,9/1/2024,Timely,N/A
$919,10021,9/1/2024,Timely,N/A
$833,10021,9/1/2024,Timely,N/A
$737,10021,9/1/2024,Timely,N/A
$721,10021,9/1/2024,Timely,N/A
$697,10021,9/1/2024,Timely,N/A
$577,10021,9/1/2024,Timely,N/A
$572,10021,9/1/2024,Timely,N/A
"$2,021",10022,9/1/2024,Timely,N/A
"$1,614",10022,9/1/2024,Timely,N/A
"$1,587",10022,9/1/2024,Timely,N/A
"$1,453",10022,9/1/2024,Timely,N/A
"$1,431",10022,9/1/2024,Timely,N/A
"$1,139",10022,9/1/2024,Timely,N/A
"$1,050",10022,9/1/2024,Timely,N/A
"$1,050",10022,9/1/2024,Timely,N/A
"$1,050",10022,9/1/2024,Timely,N/A
"$2,335",10023,9/1/2024,Timely,N/A
"$2,106",10023,9/1/2024,Timely,N/A
"$2,008",10023,9/1/2024,Timely,N/A
"$1,927",10023,9/1/2024,Timely,N/A
"$1,909",10023,9/1/2024,Timely,N/A
"$1,877",10023,9/1/2024,Timely,N/A
"$1,850",10023,9/1/2024,Timely,N/A
"$1,705",10023,9/1/2024,Timely,N/A
"$1,509",10023,9/1/2024,Timely,N/A
"$1,303",10023,9/1/2024,Timely,N/A
$988,10023,9/1/2024,Timely,N/A
$940,10023,9/1/2024,Timely,N/A
$899,10023,9/1/2024,Timely,N/A
$862,10023,9/1/2024,Timely,N/A
$860,10023,9/1/2024,Timely,N/A
$843,10023,9/1/2024,Timely,N/A
$842,10023,9/1/2024,Timely,N/A
$840,10023,9/1/2024,Timely,N/A
$830,10023,9/1/2024,Timely,N/A
$829,10023,9/1/2024,Timely,N/A
$824,10023,9/1/2024,Timely,N/A
$808,10023,9/1/2024,Timely,N/A
$808,10023,9/1/2024,Timely,N/A
$807,10023,9/1/2024,Timely,N/A
$807,10023,9/1/2024,Timely,N/A
$793,10023,9/1/2024,Timely,N/A
$783,10023,9/1/2024,Timely,N/A
$776,10023,9/1/2024,Timely,N/A
$765,10023,9/1/2024,Timely,N/A
$764,10023,9/1/2024,Timely,N/A
$753,10023,9/1/2024,Timely,N/A
$748,10023,9/1/2024,Timely,N/A
$741,10023,9/1/2024,Timely,N/A
$741,10023,9/1/2024,Timely,N/A
$738,10023,9/1/2024,Timely,N/A
$718,10023,9/1/2024,Timely,N/A
$711,10023,9/1/2024,Timely,N/A
$709,10023,9/1/2024,Timely,N/A
$702,10023,9/1/2024,Timely,N/A
$700,10023,9/1/2024,Timely,N/A
$693,10023,9/1/2024,Timely,N/A
$687,10023,9/1/2024,Timely,N/A
$686,10023,9/1/2024,Timely,N/A
$674,10023,9/1/2024,Timely,N/A
$651,10023,9/1/2024,Timely,N/A
$646,10023,9/1/2024,Timely,N/A
$635,10023,9/1/2024,Timely,N/A
$624,10023,9/1/2024,Timely,N/A
$617,10023,9/1/2024,Timely,N/A
$614,10023,9/1/2024,Timely,N/A
$607,10023,9/1/2024,Timely,N/A
$581,10023,9/1/2024,Timely,N/A
$559,10023,9/1/2024,Timely,N/A
$539,10023,9/1/2024,Timely,N/A
$526,10023,9/1/2024,Timely,N/A
$525,10023,9/1/2024,Timely,N/A
$515,10023,9/1/2024,Timely,N/A
$472,10023,9/1/2024,Timely,N/A
$383,10023,9/1/2024,Timely,N/A
$372,10023,9/1/2024,Timely,N/A
$329,10023,9/1/2024,Timely,N/A
$327,10023,9/1/2024,Timely,N/A
$323,10023,9/1/2024,Timely,N/A
$296,10023,9/1/2024,Timely,N/A
$194,10023,9/1/2024,Timely,N/A
"$2,481",10024,9/1/2024,Timely,N/A
"$2,135",10024,9/1/2024,Timely,N/A
"$2,026",10024,9/1/2024,Timely,N/A
"$1,701",10024,9/1/2024,Timely,N/A
"$1,584",10024,9/1/2024,Timely,N/A
"$1,584",10024,9/1/2024,Timely,N/A
"$1,451",10024,9/1/2024,Timely,N/A
"$1,419",10024,9/1/2024,Timely,N/A
"$1,419",10024,9/1/2024,Timely,N/A
"$1,419",10024,9/1/2024,Timely,N/A
"$1,419",10024,9/1/2024,Timely,N/A
"$1,419",10024,9/1/2024,Timely,N/A
"$1,353",10024,9/1/2024,Timely,N/A
"$1,344",10024,9/1/2024,Timely,N/A
"$1,338",10024,9/1/2024,Timely,N/A
"$1,334",10024,9/1/2024,Timely,N/A
"$1,325",10024,9/1/2024,Timely,N/A
"$1,300",10024,9/1/2024,Timely,N/A
